Symbol,Security,Index,Exchange
DHR,Danaher Corporation,S&P 500,NYSE
DRI,Darden Restaurants,S&P 500,NYSE
DDOG,Datadog,S&P 500,NYSE
DVA,DaVita,S&P 500,NYSE
DECK,Deckers Brands,S&P 500,NYSE
DE,Deere & Company,S&P 500,NYSE
DELL,Dell Technologies,S&P 500,NYSE
DAL,Delta Air Lines,S&P 500,NYSE
DVN,Devon Energy,S&P 500,NYSE
DXCM,Dexcom,S&P 500,NYSE
FANG,Diamondback Energy,S&P 500,NYSE
DLR,Digital Realty,S&P 500,NYSE
DG,Dollar General,S&P 500,NYSE
DLTR,Dollar Tree,S&P 500,NYSE
D,Dominion Energy,S&P 500,NYSE
DPZ,Domino's,S&P 500,NYSE
DASH,DoorDash,S&P 500,NYSE
DOV,Dover Corporation,S&P 500,NYSE
DOW,Dow Inc.,S&P 500,NYSE
DHI,D. R. Horton,S&P 500,NYSE
DTE,DTE Energy,S&P 500,NYSE
DUK,Duke Energy,S&P 500,NYSE
DD,DuPont,S&P 500,NYSE
ETN,Eaton Corporation,S&P 500,NYSE
EBAY,eBay Inc.,S&P 500,NYSE
SATS,EchoStar,S&P 500,NYSE
ECL,Ecolab,S&P 500,NYSE
EIX,Edison International,S&P 500,NYSE
EW,Edwards Lifesciences,S&P 500,NYSE
EA,Electronic Arts,S&P 500,NYSE
ELV,Elevance Health,S&P 500,NYSE
EME,Emcor,S&P 500,NYSE
EMR,Emerson Electric,S&P 500,NYSE
ETR,Entergy,S&P 500,NYSE
EOG,EOG Resources,S&P 500,NYSE
EPAM,EPAM Systems,S&P 500,NYSE
EQT,EQT Corporation,S&P 500,NYSE
EFX,Equifax,S&P 500,NYSE
EQIX,Equinix,S&P 500,NYSE
EQR,Equity Residential,S&P 500,NYSE
ERIE,Erie Indemnity,S&P 500,NYSE
ESS,Essex Property Trust,S&P 500,NYSE
EL,Estée Lauder Companies (The),S&P 500,NYSE
EG,Everest Group,S&P 500,NYSE
EVRG,Evergy,S&P 500,NYSE
ES,Eversource Energy,S&P 500,NYSE
EXC,Exelon,S&P 500,NYSE
EXE,Expand Energy,S&P 500,NYSE
EXPE,Expedia Group,S&P 500,NYSE
EXPD,Expeditors International,S&P 500,NYSE
EXR,Extra Space Storage,S&P 500,NYSE
XOM,ExxonMobil,S&P 500,NYSE
FFIV,"F5, Inc.",S&P 500,NYSE
FDS,FactSet,S&P 500,NYSE
FICO,Fair Isaac,S&P 500,NYSE
FAST,Fastenal,S&P 500,NYSE
FRT,Federal Realty Investment Trust,S&P 500,NYSE
FDX,FedEx,S&P 500,NYSE
FIS,Fidelity National Information Services,S&P 500,NYSE
FITB,Fifth Third Bancorp,S&P 500,NYSE
FSLR,First Solar,S&P 500,NYSE
FE,FirstEnergy,S&P 500,NYSE
FISV,Fiserv,S&P 500,NYSE
F,Ford Motor Company,S&P 500,NYSE
FTNT,Fortinet,S&P 500,NYSE
FTV,Fortive,S&P 500,NYSE
FOXA,Fox Corporation (Class A),S&P 500,NYSE
FOX,Fox Corporation (Class B),S&P 500,NYSE
BEN,Franklin Resources,S&P 500,NYSE
FCX,Freeport-McMoRan,S&P 500,NYSE
GRMN,Garmin,S&P 500,NYSE
IT,Gartner,S&P 500,NYSE
GE,GE Aerospace,S&P 500,NYSE
GEHC,GE HealthCare,S&P 500,NYSE
GEV,GE Vernova,S&P 500,NYSE
GEN,Gen Digital,S&P 500,NYSE
GNRC,Generac,S&P 500,NYSE
GD,General Dynamics,S&P 500,NYSE
GIS,General Mills,S&P 500,NYSE
GM,General Motors,S&P 500,NYSE
GPC,Genuine Parts Company,S&P 500,NYSE
GILD,Gilead Sciences,S&P 500,NYSE
GPN,Global Payments,S&P 500,NYSE
GL,Globe Life,S&P 500,NYSE
GDDY,GoDaddy,S&P 500,NYSE
GS,Goldman Sachs,S&P 500,NYSE
HAL,Halliburton,S&P 500,NYSE
HIG,Hartford (The),S&P 500,NYSE
HAS,Hasbro,S&P 500,NYSE
HCA,HCA Healthcare,S&P 500,NYSE
DOC,Healthpeak Properties,S&P 500,NYSE
HSIC,Henry Schein,S&P 500,NYSE
HSY,Hershey Company (The),S&P 500,NYSE
HPE,Hewlett Packard Enterprise,S&P 500,NYSE
HLT,Hilton Worldwide,S&P 500,NYSE
HD,Home Depot (The),S&P 500,NYSE
HON,Honeywell,S&P 500,NYSE
HRL,Hormel Foods,S&P 500,NYSE
HST,Host Hotels & Resorts,S&P 500,NYSE
HWM,Howmet Aerospace,S&P 500,NYSE
HPQ,HP Inc.,S&P 500,NYSE
HUBB,Hubbell Incorporated,S&P 500,NYSE
HUM,Humana,S&P 500,NYSE
HBAN,Huntington Bancshares,S&P 500,NYSE
HII,Huntington Ingalls Industries,S&P 500,NYSE
IBM,IBM,S&P 500,NYSE
IEX,IDEX Corporation,S&P 500,NYSE
IDXX,Idexx Laboratories,S&P 500,NYSE
ITW,Illinois Tool Works,S&P 500,NYSE
INCY,Incyte,S&P 500,NYSE
IR,Ingersoll Rand,S&P 500,NYSE
PODD,Insulet Corporation,S&P 500,NYSE
INTC,Intel,S&P 500,NYSE
IBKR,Interactive Brokers,S&P 500,NYSE
ICE,Intercontinental Exchange,S&P 500,NYSE
IFF,International Flavors & Fragrances,S&P 500,NYSE
IP,International Paper,S&P 500,NYSE
INTU,Intuit,S&P 500,NYSE
ISRG,Intuitive Surgical,S&P 500,NYSE
IVZ,Invesco,S&P 500,NYSE
INVH,Invitation Homes,S&P 500,NYSE
IQV,IQVIA,S&P 500,NYSE
IRM,Iron Mountain,S&P 500,NYSE
JBHT,J.B. Hunt,S&P 500,NYSE
JBL,Jabil,S&P 500,NYSE
JKHY,Jack Henry & Associates,S&P 500,NYSE
J,Jacobs Solutions,S&P 500,NYSE
JNJ,Johnson & Johnson,S&P 500,NYSE
JCI,Johnson Controls,S&P 500,NYSE
JPM,JPMorgan Chase,S&P 500,NYSE
KVUE,Kenvue,S&P 500,NYSE
KDP,Keurig Dr Pepper,S&P 500,NYSE
KEY,KeyCorp,S&P 500,NYSE
KEYS,Keysight Technologies,S&P 500,NYSE
KMB,Kimberly-Clark,S&P 500,NYSE
KIM,Kimco Realty,S&P 500,NYSE
KMI,Kinder Morgan,S&P 500,NYSE
KKR,KKR & Co.,S&P 500,NYSE
KLAC,KLA Corporation,S&P 500,NYSE
KHC,Kraft Heinz,S&P 500,NYSE
KR,Kroger,S&P 500,NYSE
LHX,L3Harris,S&P 500,NYSE
LH,Labcorp,S&P 500,NYSE
LRCX,Lam Research,S&P 500,NYSE
LVS,Las Vegas Sands,S&P 500,NYSE
LDOS,Leidos,S&P 500,NYSE
LEN,Lennar,S&P 500,NYSE
LII,Lennox International,S&P 500,NYSE
LLY,Lilly (Eli),S&P 500,NYSE
LIN,Linde plc,S&P 500,NYSE
LYV,Live Nation Entertainment,S&P 500,NYSE
LMT,Lockheed Martin,S&P 500,NYSE
L,Loews Corporation,S&P 500,NYSE
LOW,Lowe's,S&P 500,NYSE
LULU,Lululemon Athletica,S&P 500,NYSE
LITE,Lumentum,S&P 500,NYSE
LYB,LyondellBasell,S&P 500,NYSE
MTB,M&T Bank,S&P 500,NYSE
MPC,Marathon Petroleum,S&P 500,NYSE
MAR,Marriott International,S&P 500,NYSE
MRSH,Marsh McLennan,S&P 500,NYSE
MLM,Martin Marietta Materials,S&P 500,NYSE
MAS,Masco,S&P 500,NYSE
MA,Mastercard,S&P 500,NYSE
MKC,McCormick & Company,S&P 500,NYSE
MCD,McDonald's,S&P 500,NYSE
MCK,McKesson Corporation,S&P 500,NYSE
MDT,Medtronic,S&P 500,NYSE
MRK,Merck & Co.,S&P 500,NYSE
META,Meta Platforms,S&P 500,NYSE
MET,MetLife,S&P 500,NYSE
MTD,Mettler Toledo,S&P 500,NYSE
MGM,MGM Resorts,S&P 500,NYSE
MCHP,Microchip Technology,S&P 500,NYSE
MU,Micron Technology,S&P 500,NYSE
MSFT,Microsoft,S&P 500,NYSE
MAA,Mid-America Apartment Communities,S&P 500,NYSE
MRNA,Moderna,S&P 500,NYSE
TAP,Molson Coors Beverage Company,S&P 500,NYSE
MDLZ,Mondelez International,S&P 500,NYSE
MPWR,Monolithic Power Systems,S&P 500,NYSE
MNST,Monster Beverage,S&P 500,NYSE
MCO,Moody's Corporation,S&P 500,NYSE
MS,Morgan Stanley,S&P 500,NYSE
MOS,Mosaic Company (The),S&P 500,NYSE
MSI,Motorola Solutions,S&P 500,NYSE
MSCI,MSCI Inc.,S&P 500,NYSE
NDAQ,"Nasdaq, Inc.",S&P 500,NYSE
NTAP,NetApp,S&P 500,NYSE
NFLX,Netflix,S&P 500,NYSE
NEM,Newmont,S&P 500,NYSE
NWSA,News Corp (Class A),S&P 500,NYSE
NWS,News Corp (Class B),S&P 500,NYSE
NEE,NextEra Energy,S&P 500,NYSE
NKE,"Nike, Inc.",S&P 500,NYSE
NI,NiSource,S&P 500,NYSE
NDSN,Nordson Corporation,S&P 500,NYSE
NSC,Norfolk Southern,S&P 500,NYSE
NTRS,Northern Trust,S&P 500,NYSE
NOC,Northrop Grumman,S&P 500,NYSE
NCLH,Norwegian Cruise Line Holdings,S&P 500,NYSE
NRG,NRG Energy,S&P 500,NYSE
NUE,Nucor,S&P 500,NYSE
NVDA,Nvidia,S&P 500,NYSE
NVR,"NVR, Inc.",S&P 500,NYSE
NXPI,NXP Semiconductors,S&P 500,NYSE
ORLY,O’Reilly Automotive,S&P 500,NYSE
OXY,Occidental Petroleum,S&P 500,NYSE
ODFL,Old Dominion,S&P 500,NYSE
OMC,Omnicom Group,S&P 500,NYSE
ON,ON Semiconductor,S&P 500,NYSE
OKE,Oneok,S&P 500,NYSE
ORCL,Oracle Corporation,S&P 500,NYSE
OTIS,Otis Worldwide,S&P 500,NYSE
PCAR,Paccar,S&P 500,NYSE
PKG,Packaging Corporation of America,S&P 500,NYSE
PLTR,Palantir Technologies,S&P 500,NYSE
PANW,Palo Alto Networks,S&P 500,NYSE
PSKY,Paramount Skydance Corporation,S&P 500,NYSE
PH,Parker Hannifin,S&P 500,NYSE
PAYX,Paychex,S&P 500,NYSE
PYPL,PayPal,S&P 500,NYSE
PNR,Pentair,S&P 500,NYSE
PEP,PepsiCo,S&P 500,NYSE
PFE,Pfizer,S&P 500,NYSE
PCG,PG&E Corporation,S&P 500,NYSE
PM,Philip Morris International,S&P 500,NYSE
PSX,Phillips 66,S&P 500,NYSE
PNW,Pinnacle West Capital,S&P 500,NYSE
PNC,PNC Financial Services,S&P 500,NYSE
POOL,Pool Corporation,S&P 500,NYSE
PPG,PPG Industries,S&P 500,NYSE
PPL,PPL Corporation,S&P 500,NYSE
